run_id,fold,horizon,seed,lookback,model_family,confidence_threshold,n_total,n_active,active_fraction,macro_f1,mcc
fold_1__h50__seed_1__lb50__supervised,1,50,1,50,matrix_transformer,0.6,38348,23912,0.6235527276520287,0.570060457962393,0.3680176456450097
fold_1__h50__seed_1__lb50__supervised,1,50,1,50,matrix_transformer,0.7,38348,16463,0.42930530927297383,0.6055780524534164,0.42371269438083126
fold_1__h50__seed_1__lb50__supervised,1,50,1,50,matrix_transformer,0.8,38348,9478,0.24715760926254302,0.6615429899134524,0.5103241047608988
fold_1__h50__seed_1__lb50__supervised,1,50,1,50,matrix_transformer,0.9,38348,3199,0.08342025659747575,0.7589245446565257,0.6770053278429888
fold_1__h50__seed_1__lb50__deeplob_style__supervised,1,50,1,50,deeplob_style,0.0,38348,38348,1.0,0.4137179990119588,0.197292292283872
fold_1__h50__seed_1__lb50__deeplob_style__supervised,1,50,1,50,deeplob_style,0.5,38348,24401,0.6363043705017211,0.43165435717401984,0.2576861420132927
fold_1__h50__seed_1__lb50__deeplob_style__supervised,1,50,1,50,deeplob_style,0.6,38348,11093,0.2892719307395431,0.5516399480017281,0.38665673941956513
fold_1__h50__seed_1__lb50__deeplob_style__supervised,1,50,1,50,deeplob_style,0.7,38348,2989,0.07794409095650359,0.719414205126888,0.5734969662310824
fold_1__h50__seed_1__lb50__deeplob_style__supervised,1,50,1,50,deeplob_style,0.8,38348,425,0.011082716178157922,0.6474067605296095,0.5296475047914827
fold_1__h50__seed_1__lb50__deeplob_style__supervised,1,50,1,50,deeplob_style,0.9,38348,0,0.0,,
fold_1__h50__seed_1__lb100__supervised,1,50,1,100,matrix_transformer,0.0,38298,38298,1.0,0.36066340684516546,0.049756311818397396
fold_1__h50__seed_1__lb100__supervised,1,50,1,100,matrix_transformer,0.5,38298,2414,0.06303201211551517,0.3280140869183445,0.057085393282959015
fold_1__h50__seed_1__lb100__supervised,1,50,1,100,matrix_transformer,0.6,38298,908,0.02370880985952269,0.19732293063513348,0.014640998763382145
fold_1__h50__seed_1__lb100__supervised,1,50,1,100,matrix_transformer,0.7,38298,398,0.01039218758159695,0.20035149384885764,0.0
fold_1__h50__seed_1__lb100__supervised,1,50,1,100,matrix_transformer,0.8,38298,87,0.002271659094469685,0.2338308457711443,0.0
fold_1__h50__seed_1__lb100__supervised,1,50,1,100,matrix_transformer,0.9,38298,0,0.0,,
fold_1__h50__seed_1__lb100__deeplob_style__supervised,1,50,1,100,deeplob_style,0.0,38298,38298,1.0,0.4760769714186947,0.24613992523779643
fold_1__h50__seed_1__lb100__deeplob_style__supervised,1,50,1,100,deeplob_style,0.5,38298,36083,0.9421640816752833,0.4794023323635849,0.2567197124538233
fold_1__h50__seed_1__lb100__deeplob_style__supervised,1,50,1,100,deeplob_style,0.6,38298,32598,0.851167162776124,0.4838954522320149,0.27095830495572065
fold_1__h50__seed_1__lb100__deeplob_style__supervised,1,50,1,100,deeplob_style,0.7,38298,28988,0.7569063658676694,0.4862327878172284,0.2844242156677144
