ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason
feature_groups,top_of_book_only,fold_5,logistic,validation,accuracy,0.6288428453885855,0.6327698406761912,-0.003926995287605761,ok,
feature_groups,top_of_book_only,fold_5,logistic,validation,macro_f1,0.2573781533186383,0.35152156743414315,-0.09414341411550486,ok,
feature_groups,top_of_book_only,fold_5,logistic,validation,mcc,0.0,0.1348538475405057,-0.1348538475405057,ok,
feature_groups,top_of_book_only,fold_5,logistic,test,accuracy,0.6129444217409072,0.6218583980384144,-0.00891397629750712,ok,
feature_groups,top_of_book_only,fold_5,logistic,test,macro_f1,0.2533438902084983,0.3417645413774361,-0.08842065116893782,ok,
feature_groups,top_of_book_only,fold_5,logistic,test,mcc,0.0,0.14147865764471945,-0.14147865764471945,ok,
feature_groups,depth_features,fold_5,logistic,validation,accuracy,0.6300770439075473,0.6327698406761912,-0.002692796768643979,ok,
feature_groups,depth_features,fold_5,logistic,validation,macro_f1,0.27540453115737196,0.35152156743414315,-0.07611703627677119,ok,
feature_groups,depth_features,fold_5,logistic,validation,mcc,0.06120592620206999,0.1348538475405057,-0.0736479213384357,ok,
feature_groups,depth_features,fold_5,logistic,test,accuracy,0.6128933387821822,0.6218583980384144,-0.008965059256232144,ok,
feature_groups,depth_features,fold_5,logistic,test,macro_f1,0.2593998041804536,0.3417645413774361,-0.08236473719698251,ok,
feature_groups,depth_features,fold_5,logistic,test,mcc,0.02968914375331118,0.14147865764471945,-0.11178951389140827,ok,
feature_groups,liquidity_depth_features,fold_5,logistic,validation,accuracy,0.6288428453885855,0.6327698406761912,-0.003926995287605761,ok,
feature_groups,liquidity_depth_features,fold_5,logistic,validation,macro_f1,0.2573781533186383,0.35152156743414315,-0.09414341411550486,ok,
feature_groups,liquidity_depth_features,fold_5,logistic,validation,mcc,0.0,0.1348538475405057,-0.1348538475405057,ok,
