pretraining_objective,horizon,threshold,n_groups,mean_retained_fraction,mean_active_fraction,mean_abstention_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_hit_rate,mean_gross_directional_proxy,mean_cost_adjusted_proxy,mean_signal_change_rate,mean_turnover_adjusted_cost_proxy
next_field,50,0.7,12,0.0798943706169492,0.0542928484519512,0.3164634658467078,0.6082362108895459,0.3867296731136409,0.4938650367819704,-219.83333333333331,-219.83333333333331,0.0542945103471378,-0.012269926436059
next_field,50,0.75,12,0.0482072762114916,0.0289187609998595,0.3592974518111673,0.6285859244424877,0.3721536100208786,0.4873327755962858,-106.91666666666669,-106.91666666666669,0.0289196593054371,-0.0253344488074284
next_field,50,0.8,10,0.0278603425703008,0.0132874587644855,0.4951696653664454,0.6520579109829358,0.3685361818342129,0.4709579759246292,-30.7,-30.7,0.0132878538682313,-0.0580840481507414
next_field,50,0.85,10,0.0117375898433985,0.0052693007634732,0.537395299989087,0.6495932405672162,0.2950114780176561,0.41067553781852,3.9,3.9,0.0052694478208435,-0.17864892436296
next_field,50,0.9,7,0.0065078027409927,0.0044096964451634,0.5714285714285714,0.6731399221604564,0.2597752054404608,0.4610382755927122,7.142857142857143,7.142857142857143,0.0044098164465302,-0.0779234488145755
next_field,50,0.95,1,0.0051616041509026,0.0051616041509026,0.0,0.6230366492146597,0.2559139784946236,0.6230366492146597,47.0,47.0,0.0051617436424073,0.2460732984293193
supervised,10,0.33,15,1.0,0.4381400732596694,0.5618599267403305,0.4476840575224404,0.3336073181458961,0.2335339811600729,-8243.2,-8243.2,0.4381527280540589,-0.532932037679854
supervised,10,0.35,15,0.9905295614778922,0.4321927124563202,0.5639994331070127,0.4488502205885504,0.3335547412306458,0.2339669234689886,-8131.2,-8131.2,0.432205202680953,-0.5320661530620228
supervised,10,0.4,15,0.8390556180982051,0.3537408089166222,0.5975454702570485,0.4654263265043276,0.3321142484972856,0.229926231129452,-6612.8,-6612.8,0.3537511433691567,-0.5401475377410958
supervised,10,0.45,15,0.6575690331196881,0.2348061579522339,0.6782499827325895,0.5083078168740165,0.3272112867199695,0.227894690675389,-4295.533333333334,-4295.533333333334,0.2348131761813364,-0.5442106186492219
supervised,10,0.5,15,0.496551001353379,0.1244908892498824,0.7720607241930767,0.5668811897028232,0.3271724430881939,0.2186734085292973,-2156.4666666666667,-2156.4666666666667,0.1244946487040563,-0.5626531829414052
supervised,10,0.55,15,0.3796042073888103,0.0490106150817386,0.8674911702571729,0.6297054473398194,0.3220508576687537,0.247352149731357,-820.2666666666667,-820.2666666666667,0.0490120440611999,-0.5052957005372859
supervised,10,0.6,15,0.3005323592041674,0.0179026564806962,0.9297318182306976,0.6877733391002168,0.3199785161267384,0.2637335973917658,-289.6,-289.6,0.0179031502045324,-0.4725328052164683
